"time, velocity, level"
0,0.005237490404397249,1
1,0.008546887896955013,0
2,0.11421875655651093,0
3,0.06240493431687355,0
4,0.3671450614929199,0
5,0.5042496919631958,0
6,0.45433878898620605,0
7,0.4182678759098053,0
8,0.32736292481422424,0
9,0.14749900996685028,0
10,0.10136327892541885,0
11,0.10119195282459259,0
12,0.1102699488401413,0
13,0.20352941751480103,0
14,0.1829441487789154,0
15,0.22424402832984924,0
16,0.20638351142406464,0
17,0.20613481104373932,0
18,0.1757320761680603,0
19,0.10425525903701782,0
20,0.33474498987197876,0
21,0.3013559579849243,0
22,0.4792903661727905,0
23,0.45355382561683655,0
24,0.23993486166000366,0
25,0.2041930854320526,0
26,0.11790195107460022,0
27,0.1301741749048233,0
28,0.3734630048274994,0
29,0.7151442766189575,0
30,0.9535024166107178,0
31,1.1038058996200562,0
32,1.1263469457626343,0
33,1.1099568605422974,0
34,0.9975250959396362,0
35,0.8134929537773132,0
36,0.6457489728927612,0
37,0.6179426908493042,0
38,0.6700279712677002,0
39,0.8546198606491089,0
40,1.125342845916748,0
41,1.3763619661331177,0
42,1.600479006767273,0
43,1.743552565574646,0
44,1.837957739830017,0
45,1.8683383464813232,0
46,1.8250205516815186,0
47,1.3701889514923096,0
48,0.1747155487537384,0
49,0.24579572677612305,0
50,0.4509526789188385,0
51,0.4675197899341583,0
52,0.4819803535938263,0
53,0.29381081461906433,0
54,0.4256974756717682,0
55,0.2819257378578186,0
56,0.3110821545124054,0
57,0.32581162452697754,0
58,0.3693554103374481,0
59,0.32913848757743835,0
60,0.4092104732990265,0
61,0.5219523310661316,0
62,0.4481253921985626,0
63,0.1937847137451172,0
64,0.37026891112327576,0
65,0.20743565261363983,0
66,0.23293542861938477,0
67,0.2543206512928009,0
68,0.19360914826393127,0
69,0.4179880619049072,0
70,0.5410686135292053,0
71,0.621363639831543,0
72,0.47787120938301086,0
73,0.26583731174468994,0
74,0.4048956334590912,0
75,0.37560296058654785,0
76,0.4395918846130371,0
77,0.46683070063591003,0
78,0.30223751068115234,0
79,0.3045552968978882,0
80,0.33449774980545044,0
81,0.3469744920730591,0
82,0.2837410271167755,0
83,0.33796435594558716,0
84,0.35315337777137756,0
85,0.38977858424186707,0
86,0.4226895570755005,0
87,0.12722796201705933,0
88,0.19359788298606873,0
89,0.062066659331321716,0
90,0.3497280776500702,0
91,0.49964964389801025,0
92,0.6430423855781555,0
93,0.4369368553161621,0
94,0.19941487908363342,0
95,0.04586460813879967,0
96,0.06620638072490692,0
97,0.202427476644516,0
98,0.30037063360214233,0
99,0.2625981271266937,0
100,0.36542022228240967,0
101,0.3400211036205292,0
102,0.28941237926483154,0
103,0.23206806182861328,0
104,0.23187828063964844,0
105,0.1925876885652542,0
106,0.022941015660762787,0
107,0.2561381459236145,0
108,0.2974332869052887,0
109,0.16430345177650452,0
110,0.08611797541379929,0
111,0.10835014283657074,0
112,0.14602580666542053,0
113,0.1511351317167282,0
114,0.1988627165555954,0
115,0.2352323830127716,0
116,0.23996618390083313,0
117,0.35085171461105347,0
118,0.42677128314971924,0
119,0.3727293014526367,0
120,0.41228094696998596,0
121,0.40454474091529846,0
122,0.4622744619846344,0
123,0.467644065618515,0
124,0.676800012588501,0
125,0.5615200400352478,0
126,0.2905375361442566,0
127,0.3812134265899658,0
128,0.3271585702896118,0
129,0.2772117555141449,0
130,0.19578427076339722,0
131,0.10032246261835098,0
132,0.12190458178520203,0
133,0.12705253064632416,0
134,0.18646714091300964,0
135,0.060829825699329376,0
136,0.2448471486568451,0
137,0.2574441134929657,0
138,0.14424414932727814,0
139,0.056071922183036804,0
140,0.24039214849472046,0
